text_id,sent_id,finite_verb,non_finite_verb,length,befaft_bef,befaft_aft,argstr_NC,argstr_NP,argstr_PP,tense_pre,tense_pst,tense_fut,tense_cond,verb_POS,target_form
23,43174,hate,clean,5,0,0,1,0,0,1,0,0,0,VVG,1
25,44267,start,look,4,0,1,0,1,0,0,0,1,0,VV,0
25,44605,start,look,4,0,0,0,0,1,0,1,0,0,VVG,1
26,45017,start,sip,3,0,1,0,1,0,0,1,0,0,VV,0
26,46049,start,attack,6,0,0,1,0,0,0,1,0,0,VVG,1
26,46979,start,re-learning,11,0,1,0,1,0,0,0,0,1,VVG,1
26,47019,start,get,3,0,0,1,0,0,0,1,0,0,VVG,1
26,47043,start,look,4,0,0,0,0,1,0,1,0,0,VVG,1
27,47818,start,take,4,1,0,0,1,0,1,0,0,0,VVG,1
27,47823,start,fear,4,0,0,0,0,1,1,0,0,0,VV,0
29,49985,start,read,4,0,1,0,1,0,1,0,0,0,VVG,1
29,49985,start,find,4,1,0,1,0,0,1,0,0,0,VV,0
32,54332,start,return,6,0,0,1,0,0,0,1,0,0,VV,0
32,54432,start,bite,4,0,0,1,0,0,0,0,0,0,VV,0
32,54477,start,take,4,0,1,0,1,0,0,1,0,0,VV,0
32,54507,start,regain,6,0,0,1,0,0,0,1,0,0,VV,0
33,55752,start,work,4,0,0,0,0,1,1,0,0,0,VV,0
33,57478,start,compose,7,0,0,1,0,0,0,1,0,0,VVG,1
34,57674,start,use,3,1,0,0,1,0,1,0,0,0,VV,0
35,58116,start,brew,4,0,0,1,0,0,1,0,0,0,VVG,1
35,58303,start,grow,4,0,0,0,0,1,0,1,0,0,VV,0
35,58427,start,rise,4,0,0,1,0,0,1,0,0,0,VVG,1
36,59334,start,take,4,1,0,0,1,0,0,0,0,0,VV,0
36,59391,start,write,5,0,0,1,0,0,1,0,0,0,VVG,1
36,59391,start,start,5,0,0,1,0,0,1,0,0,0,VV,0
36,59391,start,complain,8,0,0,1,0,0,1,0,0,0,VVG,1
36,59410,start,strip,5,0,1,0,1,0,1,0,0,0,VVG,1
37,61493,start,fix,3,0,1,0,1,0,1,0,0,0,VVG,1
37,61509,start,lay,3,0,1,0,1,0,1,0,0,0,VVG,1
37,61587,start,use,3,0,1,0,1,0,0,1,0,0,VVG,1
37,62355,start,leak,4,0,0,1,0,0,1,0,0,0,VV,0
37,62389,start,rust,4,0,0,1,0,0,0,0,1,0,VV,0
37,62392,start,rust,4,0,0,1,0,0,1,0,0,0,VV,0
38,62944,start,organise,8,0,1,0,1,0,0,1,0,0,VVG,1
38,63007,start,work,4,0,0,1,0,0,1,0,0,0,VVG,1
38,63326,start,break,5,0,1,0,1,0,1,0,0,0,VVG,1
38,63979,start,come,4,0,0,1,0,0,0,0,0,0,VVG,1
38,64024,start,receive,7,0,1,0,1,0,0,1,0,0,VV,0
38,64025,start,grow,4,0,0,1,0,0,1,0,0,0,VV,0
40,65910,start,collect,7,0,1,0,1,0,1,0,0,0,VVG,1
40,66491,start,swing,5,0,0,0,0,1,1,0,0,0,VVG,1
40,66717,start,interpret,9,0,1,0,1,0,1,0,0,0,VVG,1
41,68906,start,teach,5,0,0,1,0,0,0,1,0,0,VVG,1
41,69351,start,come,4,0,0,0,0,1,0,1,0,0,VV,0
42,70260,start,look,4,0,0,0,0,1,1,0,0,0,VVG,1
43,71731,start,mutter,6,0,0,0,0,1,1,0,0,0,VVG,1
44,72101,start,try,3,0,0,1,0,0,0,1,0,0,VVG,1
45,72419,start,go,2,0,0,0,0,1,0,0,0,0,VV,0
45,72431,start,get,3,0,1,0,1,0,1,0,0,0,VV,0
47,73363,start,write,5,0,1,0,1,0,0,1,0,0,VVG,1
48,73711,start,raise,5,0,1,0,1,0,1,0,0,0,VVG,1
51,74484,start,improve,7,0,0,0,0,1,0,1,0,0,VV,0
58,76669,start,search,6,0,1,0,1,0,1,0,0,0,VVG,1
58,77225,start,come,4,0,0,1,0,0,1,0,0,0,VVG,1
58,77241,start,clear,5,0,0,0,0,1,1,0,0,0,VVG,1
60,77926,start,detoxify,8,0,0,1,0,0,1,0,0,0,VV,0
64,79037,hate,see,3,1,0,0,1,0,1,0,0,0,VV,0
65,79310,start,lose,4,0,1,0,1,0,1,0,0,0,VV,0
66,79410,hate,admire,6,0,0,1,0,0,1,0,0,0,VV,0
71,81314,start,operate,7,0,0,1,0,0,0,1,0,0,VVG,1
72,81426,start,do,2,0,0,1,0,0,0,0,0,1,VV,0
72,81427,start,combat,6,1,0,0,1,0,1,0,0,0,VV,0
72,81449,start,take,4,0,1,0,1,0,1,0,0,0,VV,0
72,81861,start,overheat,8,0,0,1,0,0,0,1,0,0,VV,0
72,81917,start,include,7,1,0,0,1,0,0,1,0,0,VV,0
75,82332,start,print,5,1,0,0,1,0,0,0,1,0,VV,0
76,82805,start,creep,5,0,0,0,0,1,0,1,0,0,VVG,1
77,83138,start,combat,6,0,1,0,1,0,0,1,0,0,VV,0
79,83775,start,reorganise,10,0,1,0,1,0,0,0,1,0,VV,0
80,84084,start,buy,3,1,0,0,1,0,0,1,0,0,VVG,1
81,84613,start,take,4,0,1,0,1,0,0,1,0,0,VVG,1
81,84618,start,write,5,0,1,0,1,0,0,1,0,0,VVG,1
81,84664,start,think,5,0,1,1,0,0,1,0,0,0,VV,0
84,85505,start,march,5,0,0,0,0,1,0,1,0,0,VV,0
88,87105,start,quibble,7,0,1,0,1,0,0,1,0,0,VV,0
88,87131,start,breathe,7,0,1,0,1,0,0,1,0,0,VVG,1
89,87317,start,get,3,0,1,0,0,1,0,1,0,0,VV,0
91,88020,start,try,3,0,0,1,0,0,0,1,0,0,VVG,1
91,88035,hate,admit,5,0,1,0,1,0,1,0,0,0,VVG,1
92,88888,start,accord,6,0,0,0,0,1,0,1,0,0,VVG,1
94,89124,start,use,3,0,0,1,0,0,0,1,0,0,VV,0
94,89163,start,work,4,0,0,0,0,1,0,1,0,0,VVG,1
94,89202,start,refer,5,0,1,0,1,0,0,1,0,0,VVG,1
94,89202,start,ask,3,0,0,1,0,0,0,1,0,0,VVG,1
97,90490,start,laugh,5,0,0,1,0,0,0,1,0,0,VVG,1
97,90490,start,laugh,5,0,0,1,0,0,0,1,0,0,VVG,1
101,91627,start,take,4,0,1,0,1,0,1,0,0,0,VVG,1
101,91627,start,call,4,0,0,0,0,1,1,0,0,0,VVG,1
102,91923,start,irritate,8,0,0,1,0,0,1,0,0,0,VV,0
102,91948,start,show,4,0,1,0,1,0,1,0,0,0,VV,0
103,92115,start,look,4,1,0,0,1,0,1,0,0,0,VV,0
104,92216,start,bombard,7,0,1,0,1,0,0,1,0,0,VVG,1
104,92519,start,think,5,0,0,0,0,1,0,1,0,0,VVG,1
108,93538,start,write,5,0,0,1,0,0,0,0,1,0,VVG,1
109,93702,start,transmit,8,0,0,1,0,0,0,1,0,0,VVG,1
110,94271,start,rise,4,0,0,1,0,0,0,0,1,0,VV,0
114,95582,start,play,4,0,1,0,1,0,0,1,0,0,VV,0
115,95757,start,knit,4,0,0,1,0,0,0,1,0,0,VVG,1
117,96310,start,get,3,0,1,0,1,0,0,0,0,0,VVG,1
117,96330,start,smudge,6,0,1,0,1,0,0,1,0,0,VVG,1
120,97468,start,dismiss,7,0,1,0,1,0,1,0,0,0,VV,0
121,97579,start,shed,4,0,1,0,1,0,1,0,0,0,VV,0
123,98243,start,include,7,0,1,0,1,0,1,0,0,0,VV,0
123,98327,hate,appear,6,0,0,0,0,1,0,1,0,0,VVG,1
125,99180,start,throw,5,0,1,0,1,0,1,0,0,0,VV,0
126,99233,start,circulate,9,0,0,1,0,0,0,1,0,0,VV,0
126,99387,start,look,4,1,0,0,1,0,0,1,0,0,VVG,1
126,99833,start,leak,4,0,1,0,1,0,0,1,0,0,VVG,1
127,99944,start,question,8,0,1,0,1,0,1,0,0,0,VVG,1
129,100213,start,say,3,0,0,1,0,0,0,1,0,0,VVG,1
129,100379,start,look,4,0,1,1,0,0,1,0,0,0,VV,0
130,100779,start,think,5,0,0,0,0,1,1,0,0,0,VVG,1
130,100781,start,overflow,8,0,0,1,0,0,1,0,0,0,VVG,1
130,100781,start,bear,4,1,0,0,1,0,1,0,0,0,VVG,1
